Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1985-06-01,0.07269007986429366,0.14979117151000168,0.327182044623646,-1
1985-07-01,0.06259821870130393,0.1291581263959663,0.28724097379007524,-1
1985-08-01,0.061999951979934353,0.11898235526720057,0.261809010223492,-1
1985-09-01,0.06078946428041071,0.10906983557952955,0.23855870521896694,-1
1985-10-01,0.05672640286907167,0.09906255746593251,0.21617334314920447,-1
1985-11-01,0.04969805225544578,0.08742521967807408,0.1949040807023004,-1
1985-12-01,0.042384233200215345,0.07633279453112375,0.17729044046793574,-1
1986-01-01,0.03681355992272946,0.06832596450920166,0.16453968754310327,-1
1986-02-01,0.03241581509068371,0.06350399660238193,0.16053393943413394,-1
1986-03-01,0.028917653521398606,0.0607311799378537,0.16122159624666244,-1
1986-04-01,0.028154367227719763,0.06110843259895568,0.16420021261461293,-1
1986-05-01,0.032636437640150125,0.06622101754385118,0.17244336106765867,-1
1986-06-01,0.03565392854594904,0.0682415974331852,0.17666189658121198,-1
1986-07-01,0.03429640785562399,0.06447998138002937,0.16909585444278757,-1
1986-08-01,0.03037522249673923,0.0586936733958232,0.16118110872616978,-1
1986-09-01,0.028345023844795546,0.05569555858306143,0.15371719148158147,-1
1986-10-01,0.02731153705775697,0.05454766876552221,0.14948757156965084,-1
1986-11-01,0.024623916659527248,0.049765427173486775,0.13852532952074154,-1
1986-12-01,0.023792690886851937,0.047479745132834185,0.13098104924551782,-1
1987-01-01,0.021028529684999457,0.04335325409046128,0.12323495299763566,-1
1987-02-01,0.01908074097061413,0.04124374548435253,0.12015477400728199,-1
1987-03-01,0.017891087106185,0.039934420758043716,0.11724676878067158,-1
1987-04-01,0.0169009803616094,0.0403541547470795,0.11994902506652762,-1
1987-05-01,0.017751789623243877,0.047216517852707536,0.14122445264618746,-1
1987-06-01,0.018292782860674543,0.05794864758415198,0.18677043478113925,-1
1987-07-01,0.017449483947424398,0.06321427369264553,0.22396209259351568,-1
1987-08-01,0.01682848097213884,0.06622900104112064,0.2463142691003834,-1
1987-09-01,0.017059126781178734,0.07508893724019697,0.28489763221704795,-1
1987-10-01,0.04152658217747612,0.1293817520417245,0.36332489887977626,-1
1987-11-01,0.09492339505340233,0.20584010165621122,0.4495918880818146,-1
1987-12-01,0.10759245158731706,0.2404750098211259,0.5060074470175575,-1
1988-01-01,0.12378760477973853,0.26460677247702924,0.5392037325956492,-1
1988-02-01,0.13761953575343874,0.28324768818763185,0.563301320057282,-1
1988-03-01,0.1840511924943959,0.3266664451609875,0.5973793889727411,-1
1988-04-01,0.1914371475131151,0.33344120432675256,0.6023400349999604,-1
1988-05-01,0.19837718103677038,0.3386540676030625,0.6064527646641139,-1
1988-06-01,0.18800512100439776,0.32152257158154884,0.5883497045166591,-1
1988-07-01,0.20653851532145234,0.33079749967043554,0.5885136213281776,-1
1988-08-01,0.25264218342567285,0.36570388649059987,0.6085567485291699,-1
1988-09-01,0.2774300596074817,0.39340910406996876,0.6298708162143192,-1
1988-10-01,0.23294175495683825,0.3552269299167734,0.6099623849843772,-1
1988-11-01,0.19155919156586007,0.30824092809336767,0.5627282625198566,-1
1988-12-01,0.16108852985573957,0.2739121217346133,0.5236308051326086,-1
1989-01-01,0.13646685086521662,0.2554936325856669,0.5201909945563319,-1
1989-02-01,0.12588485823355272,0.2603837398688661,0.5346198897429724,-1
1989-03-01,0.11614592883263497,0.26939058552790607,0.5577519641545183,-1
1989-04-01,0.11485045405281347,0.3020509714781703,0.6019273452093856,-1
1989-05-01,0.11483062818797636,0.33339393543417306,0.6422323147131707,-1
1989-06-01,0.12080910696513154,0.36030985043302993,0.6686046431247066,-1
1989-07-01,0.11432400890386399,0.35949230937639026,0.6724031449754948,-1
1989-08-01,0.1064429047186932,0.3476998631400611,0.6619990798204041,-1
1989-09-01,0.10043813645551014,0.3298705524559529,0.6360451522338609,-1
1989-10-01,0.09475439021860937,0.30568492866361335,0.5967538528872262,-1
1989-11-01,0.08146278149843661,0.26612787461723264,0.5437914955913177,-1
1989-12-01,0.0696192597369322,0.23065933961908341,0.4932445903429239,-1
1990-01-01,0.06586566114072194,0.2106902725579365,0.4537339071413036,-1
1990-02-01,0.06345324742135565,0.19689794666066623,0.42445762053209324,-1
1990-03-01,0.05708055716636251,0.17797593967759137,0.39199966110092166,-1
1990-04-01,0.062420870784821676,0.18429503879638845,0.39211559472102553,-1
1990-05-01,0.059489540560374574,0.17555247422035164,0.37558622507376604,-1
1990-06-01,0.06266208282525002,0.18299706787873027,0.3832027818138357,-1
1990-07-01,0.07406399151077091,0.19376379014816858,0.3890620491555393,-1
1990-08-01,0.1381259267739293,0.2519356020530249,0.4329139590302228,100
1990-09-01,0.22359809481220133,0.3264253879511386,0.48950210019467094,100
1990-10-01,0.311368772383695,0.4036198541503298,0.5508110599378466,100
1990-11-01,0.3853074170589791,0.4768929062574215,0.6112054437048412,100
1990-12-01,0.4487277545320891,0.5389748219458621,0.6618455995964442,100
1991-01-01,0.4483545066863572,0.5657630983437167,0.6918601907761053,100
1991-02-01,0.3900014957779958,0.5254880168985037,0.6715485336782072,100
1991-03-01,0.32364688865288394,0.4526708186432361,0.6103113387610141,100
